PREFIXO,MANTENEDOR,PREFIXO AN,NOME DA ES,DE,ATE,LATITUDE,LONGITUDE,MUNICIPIO,MUNICIPI_1,BACIA HIDR,Nome UGHRI,N_UGRHI,Nome SUBUG,N_SUBUGRHI,REDE,PROPRIETAR,TIPO DE PO,AREA (Km2),BTL,cia_amb,COBACIA,OBS,TEMPO DE T,STATUS PCD,ULTIMA TRA,CONVENCION,LOGGER,TELEMETRIC,NIVEL,VAZAO,FICHA DE INSPECAO,ULTIMA DATA FI,FICHA DESCRITIVA,ULTIMA_ATUALIZACAO_FD,AQUIFERO,ALTIMETRIA
"1D-008",,,CRUZEIRO,"1971","2000",-22.58333333,-45.14,CRUZEIRO,Piquete,R. PARAÍBA DO SUL,Paraíba do Sul,"2",Baixo Vale Paulista,2_4,,SPÁguas,FLU,12075,3° BPAmb,"3400","7789544",REGISTRADOR MECÂNICO,,,,,,,,,,,,,,
"1E-001",,,FAZENDA DO CUME,"1958","1972",-23.06666667,-45.08,CUNHA,Cunha,R. JACUÍ,Paraíba do Sul,"2",Alto Paraíba,2_1,,SPÁguas,FLU,93,3° BPAmb,"3400","7789961",,,,,,,,,,,,,,,
"2D-005",,,PINDAMONHANGABA,"1955","1998",-22.91666667,-45.52,PINDAMONHANGABA,Pindamonhangaba,RIB. DO PINHÃO,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,81,3° BPAmb,"3400","77895593",,,,,,,,,,,,,,,
"2D-006",FCTH,"58206000",BAIRRO RIO COMPRIDO,"1972","1981",-22.79027778,-45.21222222,GUARATINGUETÁ,Guaratingueta,R. PARAÍBA DO SUL,Paraíba do Sul,"2",Baixo Vale Paulista,2_4,,SPÁguas,FLU,10696,3° BPAmb,"3400","7789556",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - FOI REGISTRADOR MECÂNICO - SEM OBSERVADOR - ESTAÇÃO MISTA D2-088,,ATIVO,,O,,,,,,,,,,
"2D-007",,,FAZENDA MODELO,"1954","1978",-22.95,-45.6,TREMEMBÉ,Tremembe,R. UNA,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,461,3° BPAmb,"3400","77895751",,,,,,,,,,,,,,,
"2D-008",,,FAZ. SANTANA,"2001","2006",-22.94694444,-46.10222222,SÃO JOSÉ DOS CAMPOS,Joanopolis,R. DO PEIXE,Piracicaba/Capivari/Jundiai,"5",Rio Atibaia,5_1,,SPÁguas,FLU,160,5° BPAmb,"5100","866648",LOGGER,,,,,,,,,,,,,,
"2D-013",FCTH,"58218200",CACHOEIRA PAULISTA,"1955","2022",-22.66166667,-45.0125,CACHOEIRA PAULISTA,Cachoeira Paulista,R. PARAÍBA DO SUL,Paraíba do Sul,"2",Baixo Vale Paulista,2_4,,SPÁguas,FLU,11411,3° BPAmb,"3400","77895531",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - FOI REGISTRADOR MECÂNICO,,ATIVO,,O,L,T,,,,,,,,
"2D-025",FCTH,"58192000",VÁRZEA DO PARAÍBA,"1959","1999",-22.87777778,-45.42722222,PINDAMONHANGABA,Pindamonhangaba,R. PARAÍBA DO SUL,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,9733,3° BPAmb,"3400","77895591",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - ESTAÇÃO MISTA D2-087 (INTERESSE AGEVAP),,ATIVO,,O,,,,,,,,,,
"2D-027",,,CORUPUTUBA -RÉGUA 14,"0","0",-22.83333333,-45.6,PINDAMONHANGABA,Pindamonhangaba,R. PARAÍBA DO SUL,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,,3° BPAmb,"3400","7789572",DE 1955 A 1970 SÓ NÍVEIS,,,,,,,,,,,,,,
"2D-028",FCTH,"58214000",LORENA / PIQUETE,"1964","1992",-22.69972222,-45.1425,LORENA,Lorena,R. PARAÍBA DO SUL,Paraíba do Sul,"2",Baixo Vale Paulista,2_4,,SPÁguas,FLU,11090,3° BPAmb,"3400","77895535",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - DE 1981 A 1989 S/ VAZÕES - SEM OBSERVADOR - ESTAÇÃO MISTA D2-086 (INTERESSE AGEVAP),,ATIVO,,O,L,T,,,,,,,,
"2D-037",,,COLONIA PIAGUI,"1971","2002",-22.73694444,-45.24388889,GUARATINGUETÁ,Guaratingueta,R. PIAGUI,Paraíba do Sul,"2",Baixo Vale Paulista,2_4,,SPÁguas,FLU,173,3° BPAmb,"3400","7789556",DE 01/2003 A 10/2015 S/ LEITURAS DE ESCALAS,,,,,,,,,,,,,,
"2D-042",,,FAZENDA NATAL,"1971","1976",-22.78333333,-45.42,GUARATINGUETÁ,Pindamonhangaba,RIB. DOS BUENOS,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,38,3° BPAmb,"3400","77895572",,,,,,,,,,,,,,,
"2D-044",,,FAZENDA SAPUCAIA,"1957","1975",-22.81666667,-45.42,PINDAMONHANGABA,Pindamonhangaba,RIB. GRANDE,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,116,3° BPAmb,"3400","7789558",,,,,,,,,,,,,,,
"2D-053",,,POTIM,"1969","2001",-22.84277778,-45.29638889,POTIM,Potim,R. PARAÍBA DO SUL,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,10218,3° BPAmb,"3400","77895573",FOI TELEMETRICO - SEM OBSERVADOR - CONTINUAM AS MEDIÇÕES DE VAZÃO,,,,,,,,,,,,,,
"2D-054",,,FAZENDA KANEGAI,"1969","1998",-22.9,-45.66,TREMEMBÉ,Tremembe,R. PIRACUAMA,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,161,3° BPAmb,"3400","7789574",REGISTRADOR MECÂNICO,,,,,,,,,,,,,,
"2D-056",,,FAZENDA SANTA CATARINA,"1969","1999",-22.68333333,-45.16,LORENA,Lorena,RIB. DOS MACACOS,Paraíba do Sul,"2",Baixo Vale Paulista,2_4,,SPÁguas,FLU,37,3° BPAmb,"3400","77895535",,,,,,,,,,,,,,,
"2D-057",,,PASSA VINTE,"1969","1981",-22.58333333,-45,CRUZEIRO,Cruzeiro,RIB. PASSA VINTE,Paraíba do Sul,"2",Baixo Vale Paulista,2_4,,SPÁguas,FLU,61,3° BPAmb,"3400","77895393",,,,,,,,,,,,,,,
"2D-058",,,EMBAU,"1970","1996",-22.58333333,-45.04,CACHOEIRA PAULISTA,Cruzeiro,RIB. EMBAÚ,Paraíba do Sul,"2",Baixo Vale Paulista,2_4,,SPÁguas,FLU,177,3° BPAmb,"3400","7789542",REGISTRADOR MECÂNICO,,,,,,,,,,,,,,
"2D-059",,,PIRAPITINGUI,"1973","1989",-22.93333333,-45.38,ROSEIRA,Pindamonhangaba,RIB. PIRAPITINGUI,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,67,3° BPAmb,"3400","77895591",REGISTRADOR MECÂNICO,,,,,,,,,,,,,,
"2D-060",,,ÁGUA PRETA,"1976","1979",-22.9,-45.5,PINDAMONHANGABA,Pindamonhangaba,RIB. ÁGUA PRETA,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,19,3° BPAmb,"3400","77895593",,,,,,,,,,,,,,,
"2D-061",,,PITÉU,"1973","1993",-22.66666667,-45.02,CACHOEIRA PAULISTA,Cachoeira Paulista,RIB. PALMITAL,Paraíba do Sul,"2",Baixo Vale Paulista,2_4,,SPÁguas,FLU,38,3° BPAmb,"3400","77895531",REGISTRADOR MECÂNICO,,,,,,,,,,,,,,
"2D-062",FCTH,"61250100",PARQUE ESTADUAL,"1980","2020",-22.69333333,-45.60527778,CAMPOS DO JORDÃO,Campos do Jordao,R. SAPUCAÍ-GUAÇU,Mantiqueira,"1",Sapucaí-Guaçu,1_1,,SPÁguas,FLU,120,3° BPAmb,"3400","8688996",LOGGER (FCTH) - (ESTAÇÃO MISTA D2-096),,ATIVO,,,L,,Q,,,,,,,
"2D-063",,,PONTE DE PINDAMONHANGABA,"1983","1999",-22.9,-45.56,PINDAMONHANGABA,Tremembe,R. PARAÍBA DO SUL,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,9506,3° BPAmb,"3400","7789572",SEM OBSERVADOR - CONTINUAM AS MEDIÇÕES DE VAZÃO,,,,,,,,,,,,,,
"2D-064",,,BAIRRO DA LAGOA,"0","0",-22.70722222,-45.65277778,CAMPOS DO JORDÃO,Sao Bento do Sapucai,R. SAPUCAÍ-GUAÇU,Mantiqueira,"1",Lageado,1_2,,SPÁguas,FLU,54,3° BPAmb,"3400","8688876",LOGGER (FCTH) - CURVA DE 2007 A 2010 - SEM OBSERVADOR - MEDQ  INSTÁVEIS  (ESTAÇÃO MISTA D2-103),,,,,,,,,,,,,,
"2D-065",FCTH,"61321000",DIVISA SP-MG,"2006","2023",-22.670278,-45.742222,SÃO BENTO DO SAPUCAÍ,,R. SAPUCAÍ-MIRIM,,,,,,SPÁguas,FLU,522,,,,LOGGER (FCTH) - (ESTAÇÃO MISTA D2-102) - SEM VAZÃO DE 2008 A 2015,,ATIVO,,,L,,Q,,,,,,,
"2D-066",FCTH,,ESTRADA DE CUNHA,"0","0",-22.995,-45.05055556,CUNHA,Cunha,R. PARAITINGA,Paraíba do Sul,"2",Alto Paraíba,2_1,,SPÁguas,FLU,,3° BPAmb,"3400","77899911",LOGGER (FCTH) / TELEMETRIA SATÉLITE / SAISP - SEM OBSERVADOR,,ATIVO,,O,,,,,,,,,,
"2D-067",FCTH,,BARRAGEM DOS MOTAS,"0","0",-22.88777778,-45.26222222,APARECIDA,Aparecida,RIB. DOS MOTAS,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,,3° BPAmb,"3400","77895573",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR - ESTAÇÃO MISTA D2-089,,ATIVO,,O,L,T,,,,,,,,
"2E-002",,,FAZENDA VELHA,"1971","1979",-23.44527778,-45.10972222,UBATUBA,Ubatuba,RIB. LAGOA,Litoral Norte,"3",Ubatuba,3_2,,SPÁguas,FLU,6,3° BPAmb,"3300","7793939",,,,,,,,,,,,,,,
"2E-010",FCTH,,JARDIM TELESPARK,"2008","2010",-23.16194444,-46.08305556,SÃO JOSÉ DOS CAMPOS,Sao Jose dos Campos,R. PARAÍBA DO SUL,Paraíba do Sul,"2",Usina Santa Branca/ Rio Porangaba,2_2,,SPÁguas,FLU,7728,3° BPAmb,"3400","778965",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR - ESTAÇÃO MISTA E2-111 (INTERESSE AGEVAP),,ATIVO,,,,,,,,,,,,
"2E-012",,,REMÉDIOS,"1957","1967",-23.05,-45.6,TAUBATÉ,Taubate,R. UNA,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,352,3° BPAmb,"3400","77895751",,,,,,,,,,,,,,,
"2E-016",,,CERAMICA QUIRINO,"1957","1998",-23.06666667,-45.8,CAÇAPAVA,Cacapava,RIB. CAÇAPAVA VELHA,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,30,3° BPAmb,"3400","77895753",,,,,,,,,,,,,,,
"2E-018",,,FAZENDA IGAÇABA,"1959","1989",-23.15,-46.06,SÃO JOSÉ DOS CAMPOS,Sao Jose dos Campos,R. PARAÍBA DO SUL,Paraíba do Sul,"2",Usina Santa Branca/ Rio Porangaba,2_2,,SPÁguas,FLU,7756,3° BPAmb,"3400","778965",DE 1982 A 1986 S/ VAZÕES,,,,,,,,,,,,,,
"2E-020",,,FAXINAL,"1959","1975",-23.1,-45.24,LAGOINHA,Lagoinha,RIB. DO PINHAL,Paraíba do Sul,"2",Alto Paraíba,2_1,,SPÁguas,FLU,47,3° BPAmb,"3400","7789954",,,,,,,,,,,,,,,
"2E-021",,,SANTA LUZIA,"1970","1975",-23.11666667,-45.9,CAÇAPAVA,Sao Jose dos Campos,RIB. DA DIVISA,Paraíba do Sul,"2",Usina Santa Branca/ Rio Porangaba,2_2,,SPÁguas,FLU,62,3° BPAmb,"3400","7789581",,,,,,,,,,,,,,,
"2E-023",FCTH,,PARARANGABA,"1960","2011",-23.17611111,-45.96416667,SÃO JOSÉ DOS CAMPOS,Sao Jose dos Campos,R. PARARANGABA,Paraíba do Sul,"2",Usina Santa Branca/ Rio Porangaba,2_2,,SPÁguas,FLU,49,3° BPAmb,"3400","778961",DE 1988 A 2007 S/ VAZÕES - MEDIÇÕES DE VAZÃO REINICIADAS,,ATIVO,,,,,,,,,,,,
"2E-031",,,SALESÓPOLIS,"1964","1978",-23.51666667,-46.02,SALESÓPOLIS,Guararema,R. PARAITINGA,Paraíba do Sul,"2",Usina Santa Branca/ Rio Porangaba,2_2,,SPÁguas,FLU,123,1° BPAmb,"1300","7789718",,,,,,,,,,,,,,,
"2E-033",,,SITIO SAHEKI,"1965","1976",-23.53333333,-46.02,SALESÓPOLIS,Biritiba Mirim,R. PARAITINGA,Alto Tietê,"6",,6_1,,SPÁguas,FLU,217,1° BPAmb,"1300","866998",,,,,,,,,,,,,,,
"2E-034",,,FAZ. PINGO D'ÁGUA,"2004","2010",-23.12416667,-46.08611111,SÃO JOSÉ DOS CAMPOS,Sao Jose dos Campos,R. BUQUIRA,Paraíba do Sul,"2",Usina Santa Branca/ Rio Porangaba,2_2,,SPÁguas,FLU,401,3° BPAmb,"3400","7789671",LOGGER,,,,,,,,,,,,,,
"2E-035",,,TURVO,"2005","2011",-23.06555556,-46.16888889,SÃO JOSÉ DOS CAMPOS,Piracaia,R. TURVO,Piracicaba/Capivari/Jundiai,"5",Rio Atibaia,5_1,,SPÁguas,FLU,39,5° BPAmb,"5100","8666465",LOGGER,,,,,,,,,,,,,,
"2E-036",FCTH,,RIBEIRÃO DO MOINHO,"0","0",-23.04194444,-45.66555556,TAUBATÉ,Cacapava,RIB. DO MOINHO,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,,3° BPAmb,"3400","77895753",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR - ESTAÇÃO MISTA E2-144,,ATIVO,,,,,,,,,,,,
"2E-038",FCTH,,ESTRADA DA RIBEIRA,"0","0",-23.17916667,-45.33472222,SÃO LUÍS DO PARAITINGA,Sao Luiz do Paraitinga,R. PARAITINGA,Paraíba do Sul,"2",Alto Paraíba,2_1,,SPÁguas,FLU,,3° BPAmb,"3400","778992",SEM OBSERVADOR - ESTAÇÃO MISTA E2-145,,ATIVO,,,,,,,,,,,,
"2E-039",FCTH,,RIO PARAITINGA - JUSANTE DO JACUÍ,"0","0",-23.08888889,-45.16166667,LAGOINHA,Lagoinha,R. PARAITINGA,Paraíba do Sul,"2",Alto Paraíba,2_1,,SPÁguas,FLU,,3° BPAmb,"3400","7789955",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR - ESTAÇÃO MISTA E2-146,,ATIVO,,,,,,,,,,,,
"2E-040",FCTH,,RIO JACUÍ - FOZ DE AFLUENTE,"0","0",-23.08833333,-45.11388889,CUNHA,Cunha,R. JACUÍ,Paraíba do Sul,"2",Alto Paraíba,2_1,,SPÁguas,FLU,,3° BPAmb,"3400","7789961",LOGGER (FCTH) / TELEMETRIA SATÉLITE / SAISP - SEM OBSERVADOR -  ESTAÇÃO MISTA E2-147,,ATIVO,,,,,,,,,,,,
"2E-041",,,MATO DENTRO,"1972","1975",-23.43472222,-45.10194444,UBATUBA,Ubatuba,R. GRANDE DE UBATUBA,Litoral Norte,"3",Ubatuba,3_2,,SPÁguas,FLU,64,3° BPAmb,"3300","7793938",,,,,,,,,,,,,,,
"2E-043",,,QUIRIRIM,"1972","1976",-23.01666667,-45.74,TAUBATÉ,Cacapava,RIB. PIRACANGUÁ,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,49,3° BPAmb,"3400","77895753",,,,,,,,,,,,,,,
"2E-044",,,FAZENDA SANTA CLARA,"1972","1977",-23.13333333,-45.56,TAUBATÉ,Taubate,RIB. DAS ALMAS,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,113,3° BPAmb,"3400","7789562",,,,,,,,,,,,,,,
"2E-045",,,ATERRO VELHO DA EFCB,"1972","1976",-23,-45.72,TAUBATÉ,Cacapava,RIB. JOSÉ RAIMUNDO,Paraíba do Sul,"2",,2_3,,SPÁguas,FLU,19,3° BPAmb,"3400","77895753",,,,,,,,,,,,,,,
"2E-046",FCTH,,SALESÓPOLIS,"1978","2005",-23.51666667,-46,SALESÓPOLIS,Guararema,R. PARAITINGA,Paraíba do Sul,"2",Usina Santa Branca/ Rio Porangaba,2_2,,SPÁguas,FLU,127,1° BPAmb,"1300","7789718",REGISTRADOR MECÂNICO,,ATIVO,,,,,,,,,,,,
"2E-048",,,FAZENDA RIO CLARO,"1980","1990",-23.68333333,-45.58,CARAGUATATUBA,Caraguatatuba,R. CLARO,Litoral Norte,"3",Ubatuba,3_3,,SPÁguas,FLU,72,3° BPAmb,"3300","7793945",,,,,,,,,,,,,,,
"2E-049",FCTH,,RIBEIRÃO DO CHAPÉU,"0","0",-23.24916667,-45.34194444,SÃO LUÍS DO PARAITINGA,Sao Luiz do Paraitinga,RIBEIRÃO DO CHAPÉU,Paraíba do Sul,"2",Alto Paraíba,2_1,,SPÁguas,FLU,,3° BPAmb,"3400","7789915",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR - ESTAÇÃO MISTA E2-148,,ATIVO,,,,,,,,,,,,
"2E-050",FCTH,,ESTRADA BARRO VERMELHO,"0","0",-23.13916667,-45.20027778,LAGOINHA,Lagoinha,R. PARAITINGA,Paraíba do Sul,"2",Alto Paraíba,2_1,,SPÁguas,FLU,,3° BPAmb,"3400","7789953",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR - ESTAÇÃO MISTA E2-149,,ATIVO,,,,,,,,,,,,
"2E-051",FCTH,,PASSARELA,"0","0",-23.22277778,-45.37222222,SÃO LUÍS DO PARAITINGA,Sao Luiz do Paraitinga,R. PARAITINGA,Paraíba do Sul,"2",Alto Paraíba,2_1,,SPÁguas,FLU,,3° BPAmb,"3400","778992",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR - ESTAÇÃO MISTA E2-150,,ATIVO,,,,,,,,,,,,
"2E-052",FCTH,,PONTE ALTA,"0","0",-23.32916667,-45.16972222,SÃO LUÍS DO PARAITINGA,Sao Luiz do Paraitinga,R. PARAIBUNA,Paraíba do Sul,"2",Alto Paraíba,2_1,,SPÁguas,FLU,,3° BPAmb,"3400","7789891",LOGGER (FCTH) / TELEMETRIA SATÉLITE / SAISP - SEM OBSERVADOR - ESTAÇÃO MISTA E2-027,,ATIVO,,,,,,,,,,,,
"2E-053",FCTH,,SANTA BRANCA,"0","0",-23.36777778,-46.07611111,SANTA BRANCA,Guararema,R. PARAÍBA DO SUL,Paraíba do Sul,"2",Usina Santa Branca/ Rio Porangaba,2_2,,SPÁguas,FLU,,1° BPAmb,"1300","7789713",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP -SEM OBSERVADOR - ESTAÇÃO MISTA E2-151,,ATIVO,,,,,,,,,,,,
"2E-054",FCTH,,JACAREÍ,"0","0",-23.30777778,-46.16888889,JACAREÍ,Santa Isabel,R. PARAÍBA DO SUL,Paraíba do Sul,"2",Usina Santa Branca/ Rio Porangaba,2_2,,SPÁguas,FLU,,1° BPAmb,"1300","7789641",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR - ESTAÇÃO MISTA E2-152,,ATIVO,,,,,,,,,,,,
"2E-055",FCTH,,PARQUE MOÇOTA,"0","0",-23.07833333,-45.85083333,CAÇAPAVA,Sao Jose dos Campos,R. PARAÍBA DO SUL,Paraíba do Sul,"2",Usina Santa Branca/ Rio Porangaba,2_2,,SPÁguas,FLU,8360,3° BPAmb,"3400","7789579",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR - ESTAÇÃO MISTA E2-153,,ATIVO,,,,,,,,,,,,
"2E-056",FCTH,,CACHOEIRA DO CHAPÉU,"0","0",-23.20611111,-45.22388889,SÃO LUÍS DO PARAITINGA,Sao Luiz do Paraitinga,RIBEIRÃO DO CHAPÉU,Paraíba do Sul,"2",Alto Paraíba,2_1,,SPÁguas,FLU,,3° BPAmb,"3400","7789953",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR - ESTAÇÃO MISTA E2-155,,ATIVO,,,,,,,,,,,,
2E-500Z,FCTH,,FAZENDA MARAJÓ,"2019","2024",-23.11055556,-45.85027778,CAÇAPAVA,Sao Jose dos Campos,RIB. MANUEL LITTO,Paraíba do Sul,"2",Usina Santa Branca/ Rio Porangaba,2_2,,SPÁguas,PIEZO,,3° BPAmb,"3400","7789579",LEITURAS DE OBSERVADOR NÃO DIÁRIAS- Checar boca do poço,,ATIVO,,C,,,,,,,,,Taubaté,560
3C-001,,,SÃO JOSÉ DO RIO PARDO,"1944","1968",-21.58333333,-47.06,SÃO JOSÉ DO RIO PARDO,Mococa,R. PARDO,Pardo,"4",Rio Tambaú,4_2,,SPÁguas,FLU,4093,5° BPAmb,"5200","86842732",,,,,,,,,,,,,,,
3C-004,,,JUSANTE UHE-SÃO JOAQUIM,"2006","2021",-21.87472222,-47.07083333,VARGEM GRANDE DO SUL*(PARDO),Casa Branca,R. JAGUARI-MIRIM,Mogi-Guaçu,"9",Jaguari Mirim,9_2,,SPÁguas,FLU,932,5° BPAmb,"5200","8684624",SEM OBSERVADOR,,,,,,,,,,,,,,
3C-012,FCTH,"61821000",ITOBI,"1980","2024",-21.715,-47.16944444,ITOBI,Casa Branca,R. VERDE,Pardo,"4",Rio Tambaú,4_2,,SPÁguas,FLU,346,5° BPAmb,"5200","86842722",LOGGER (SOLINST) - SEM OBSERVADOR - FOI REGISTRADOR MECÂNICO - DE 2002 A 2008 S/ VAZÕES,,ATIVO,,,L,,,,,,,,,
"3D-001",FCTH,"62628000",DALBÓ,"1943","2025",-22.67555556,-47.16111111,JAGUARIÚNA,Cosmopolis,R.CAMANDUCAIA,Piracicaba/Capivari/Jundiai,"5",,5_3,,SPÁguas,FLU,928,5° BPAmb,"5200","86667",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR - DE 1996 A 1999 S/ VAZÕES - (ESTAÇÃO MISTA D3-044),,ATIVO,,,L,T,,,,,,,,
"3D-002",FCTH,"62622000",MONTE ALEGRE DO SUL,"1944","2025",-22.69888889,-46.80305556,MONTE ALEGRE DO SUL,Amparo,R. CAMANDUCAIA,Piracicaba/Capivari/Jundiai,"5",Rio Camanducaia,5_2,,SPÁguas,FLU,387,5° BPAmb,"5100","866687",,,ATIVO,,,,,,,,,,,,
"3D-003",FCTH,"62680000",DESEMBARGADOR FURTADO,"1944","2025",-22.77583333,-47.19027778,CAMPINAS,Paulinia,R. ATIBAIA,Piracicaba/Capivari/Jundiai,"5",Rio Atibaia,5_1,,SPÁguas,FLU,2308,5° BPAmb,"5100","866641",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - (ESTAÇÃO MISTA D3-055),,ATIVO,,,L,T,Q,,,,,,,
"3D-004",,,MOJI-GUAÇU,"1944","2023",-22.37027778,-47.10388889,MOJI-GUAÇU,Conchal,R. MOJI-GUAÇU,Mogi-Guaçu,"9",Alto Mogi,9_1,,SPÁguas,FLU,3834,5° BPAmb,"5200","8684762",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR -  DE 1988 A 2005 E DE 2013 A 2014  S/ VAZÕES - ESTAÇÃO MISTA D3-074 - DESATIVADO EM OUT/24,,,,,,,,,,,,,,
"3D-006",FCTH,"62676000",BAIRRO DA PONTE,"1929","2025",-22.98305556,-46.99305556,ITATIBA,Valinhos,R. ATIBAIA,Piracicaba/Capivari/Jundiai,"5",Rio Atibaia,5_1,,SPÁguas,FLU,1920,5° BPAmb,"5100","866644",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR - DE 1997 A 2000 S/ VAZÕES - (ESTAÇÃO MISTA D3-048),,ATIVO,,,L,T,,,,,,,,
"3D-007",FCTH,"62678150",CAPTAÇÃO DE VALINHOS,"1999","2021",-22.92888889,-47.12611111,VALINHOS,Campinas,R. ATIBAIA,Piracicaba/Capivari/Jundiai,"5",,5_8,,SPÁguas,FLU,2152,5° BPAmb,"5100","866928",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR - ESTAÇÃO MISTA D3-051,,ATIVO,,,L,T,Q,,,,,,,
"3D-008",FCTH,"62616000",JAGUARIUNA,"2002","2025",-22.70305556,-47,JAGUARIÚNA,Jaguariuna,R. JAGUARI,Piracicaba/Capivari/Jundiai,"5",,5_3,,SPÁguas,FLU,2187,5° BPAmb,"5100","8666911",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR (ESTAÇÃO MISTA D3-045),,ATIVO,,,L,T,,,,,,,,
"3D-009",FCTH,"62605000",BUENÓPOLIS,"1930","2025",-22.85055556,-46.9325,MORUNGABA,Campinas,R. JAGUARI,Piracicaba/Capivari/Jundiai,"5",Rio Atibaia,5_1,,SPÁguas,FLU,1950,5° BPAmb,"5100","8666431",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP- SEM OBSERVADOR - (ESTAÇÃO MISTA D3-040),,ATIVO,,,L,T,,,,,,,,
"3D-015",FCTH,"62597000",GUARIPOCABA,"1971","2025",-22.90666667,-46.57027778,BRAGANÇA PAULISTA,Bragança Paulista,R. JAGUARI,Piracicaba/Capivari/Jundiai,"5",,5_3,,SPÁguas,FLU,1353,5° BPAmb,"5100","8666931",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR - DE 1993 A 2000 S/ VAZÕES - (ESTAÇÃO MISTA D3-047),,ATIVO,,,L,T,,,,,,,,
"3D-016",FCTH,"62590000",PIRES,"1971","2025",-22.87166667,-46.43222222,EXTREMA**(MG),Vargem,R. JAGUARI,Piracicaba/Capivari/Jundiai,"5",,5_3,,SPÁguas,FLU,955,5° BPAmb,"5100","866695",LOGGER (FCTH) / TELEMETRIA CHIP CELULAR / SAISP - SEM OBSERVADOR - DE 1993 A 2014 SEM VAZÕES - (ESTAÇÃO MISTA D3-075),,ATIVO,,,L,T,,,,,,,,
"3D-017",,,FORMIGA,"1971","1996",-22.72777778,-46.525,TOLEDO  **(MG),Pinhalzinho,R. CAMANDUCAIA,Piracicaba/Capivari/Jundiai,"5",Rio Camanducaia,5_2,,SPÁguas,FLU,102,5° BPAmb,"5100","8666891",,,,,,,,,,,,,,,
"3D-018",,,SÍTIO PONTE PRETA,"1973","1979",-22.26666667,-46.88,ESPÍRITO SANTO DO PINHAL,Mogi Guaçu,R. MOJI-GUAÇU,Mogi-Guaçu,"9",Alto Mogi,9_1,,SPÁguas,FLU,1248,5° BPAmb,"5100","86847842",,,,,,,,,,,,,,,
"3D-019",,,N. S. DAS GRAÇAS,"1976","1986",-22.98333333,-47,ITATIBA,Valinhos,RIB. JACAREZINHO,Piracicaba/Capivari/Jundiai,"5",Rio Atibaia,5_1,,SPÁguas,FLU,95,5° BPAmb,"5100","866644",REGISTRADOR MECÂNICO - DE 1980 A 1983 S/ VAZÕES,,,,,,,,,,,,,,
