PREFIXO,MANTENEDOR,PREFIXO AN,NOME DA ES,DE,ATE,LATITUDE,LONGITUDE,MUNICIPIO,MUNICIPI_1,BACIA HIDR,Nome UGHRI,N_UGRHI,Nome SUBUG,N_SUBUGRHI,REDE,PROPRIETAR,TIPO DE PO,AREA (Km2),BTL,cia_amb,COBACIA,OBS,TEMPO DE T,STATUS PCD,ULTIMA TRA,CONVENCION,LOGGER,TELEMETRIC,NIVEL,VAZAO,FICHA DE INSPECAO,ULTIMA DATA FI,FICHA DESCRITIVA,ULTIMA_ATUALIZACAO_FD,AQUIFERO,ALTIMETRIA
5C-504Z,FCTH,,SÍTIO JEANNE DARK,"2011","2012",-21.78583333,-48.17638889,ARARAQUARA,Araraquara,RIB. DO OURO,Tietê/Jacaré,"13",Médio Jacaré-Guaçu,13_2,,SPÁguas,PIEZO,,4° BPAmb,"4400","866482",SEM OBSERVADOR (AS LEITURAS GRAVADAS SÃO RETIRADAS DAS INSPEÇÕES) - PARALISADO,,PARALIZADO,,C,,,,,,,,,Serra Geral,667.922
5C-505Z,FCTH,,CHÁCARA N. S. APARECIDA,"2013","2025",-21.70527778,-48.98694444,IBITINGA,Ibitinga,CÓRR. DO ALGODOAL,Tietê/Batalha,"16",Rio São Lourenço/ Rio dos Porcos,16_1,,SPÁguas,PIEZO,,4° BPAmb,"4400","866221",LOGGER (SOLINST) - SEM OBSERVADOR (AS LEITURAS GRAVADAS SÃO RETIRADAS DAS INSPEÇÕES),,ATIVO,,C,L,,,,,,,,Bauru,551.962
5C-506Z,FCTH,,SÍTIO SANTO ANTONIO,"2018","2025",-21.31305556,-48.5075,JABOTICABAL,Monte Alto,CÓRR. RICO,Mogi-Guaçu,"9",Médio Mogi Inferior,9_4,,SPÁguas,PIEZO,,4° BPAmb,"4400","8684527",LOGGER (SOLINST) - SEM OBSERVADOR (AS LEITURAS GRAVADAS SÃO RETIRADAS DAS INSPEÇÕES),,ATIVO,,C,L,,,,,,,,Bauru,603.734
5C-507Z,FCTH,,CHÁCARA TICIANA,"2018","2025",-21.59833333,-48.07638889,RINCÃO,Rincao,RIB. DO RANCHO QUEIMADO,Mogi-Guaçu,"9",Médio Mogi Inferior,9_4,,SPÁguas,PIEZO,,4° BPAmb,"4400","86845383",LOGGER (SOLINST) - SEM OBSERVADOR (AS LEITURAS GRAVADAS SÃO RETIRADAS DAS INSPEÇÕES),,ATIVO,,C,L,,,,,,,,Guarani,538.19
5C-508Z,FCTH,,CHÁCARA SÃO JORGE,"2018","2025",-21.00861111,-48.92,PARAÍSO,Novais,CÓRR. DO PAPAGAIO,Turvo/Grande,"15",Ribeirão da Onça,15_1,,SPÁguas,PIEZO,,4° BPAmb,"4100","868283",LOGGER (SOLINST) - SEM OBSERVADOR (AS LEITURAS GRAVADAS SÃO RETIRADAS DAS INSPEÇÕES),,ATIVO,,C,L,,,,,,,,Bauru,551.548
5C-509Z,FCTH,,CHACARA JÓIA RARA,"2019","2025",-21.77111111,-48.595,NOVA EUROPA,Nova Europa,RIB. ITAQUERÊ,Tietê/Jacaré,"13",Baixo Jacaré-Guaçu,13_3,,SPÁguas,PIEZO,,4° BPAmb,"4400","86644",LOGGER (SOLINST) - SEM OBSERVADOR (AS LEITURAS GRAVADAS SÃO RETIRADAS DAS INSPEÇÕES),,ATIVO,,C,L,,,,,,,,Bauru,558.48
5C-510Z,FCTH,,FAZENDA SANTA MARIA,"2018","2025",-21.87222222,-48.29277778,ARARAQUARA,Boa Esperança do Sul,CÓRR. DA EMA,Tietê/Jacaré,"13",Médio Jacaré-Guaçu,13_2,,SPÁguas,PIEZO,,4° BPAmb,"4400","866477",LOGGER (SOLINST) - SEM OBSERVADOR (AS LEITURAS GRAVADAS SÃO RETIRADAS DAS INSPEÇÕES),,ATIVO,,C,L,,,,,,,,Guarani,508.873
5C-511Z,FCTH,,VENDA BRANCA,"2023","2023",-21.79388889,-48.21527778,ARARAQUARA,Araraquara,RIB. DAS CRUZES,Tietê/Jacaré,"13",Médio Jacaré-Guaçu,13_2,,SPÁguas,PIEZO,,4° BPAmb,"4400","866476",checar boca do poço,,ATIVO,,C,,,,,,,,,Serra Geral,675
"5D-007",,,ACIMA DA REPRESA,"1938","1948",-22.4,-48.2,BARIRI,Torrinha,RIB. DOS PINHEIRINHOS,Tietê/Jacaré,"13",Alto Jacaré-Pepira,13_4,,SPÁguas,FLU,113,5° BPAmb,"5200","866526",,,,,,,,,,,,,,,
"5D-008",,,SITIO BRAGA,"1939","1958",-22.3,-48.16,BROTAS,Brotas,R. JACARÉ-PEPIRA,Tietê/Jacaré,"13",Alto Jacaré-Pepira,13_4,,SPÁguas,FLU,537,5° BPAmb,"5200","866526",,,,,,,,,,,,,,,
"5D-012",,,USINA LENÇÓIS,"1952","1980",-22.5,-48.76,MACATUBA,Macatuba,R. LENÇÓIS,Tietê/Jacaré,"13",Rio Tietê/ Rio Lençóis,13_7,,SPÁguas,FLU,957,2° BPAmb,"2200","8665763",,,,,,,,,,,,,,,
"5D-013",FCTH,"62736500",MONTANTE - LENÇÓIS,"2012","2024",-22.57194444,-49.02583333,LENÇÓIS PAULISTA,Agudos,R. LENÇÓIS,Médio Paranapanema,"17",Rio Turvo / Rio São João / Rio Alambari,17_2,,SPÁguas,FLU,185,2° BPAmb,"2200","8646293",LOGGER (SOLINST) RETIRADO,,ATIVO,,,,,,,,,,,,
"5D-025",,,FAZENDA PAINEIRA,"1969","1974",-22.1,-48.18,SÃO CARLOS,Ribeirão Bonito,R. JACARÉ-GUAÇU,Tietê/Jacaré,"13",Alto Jacaré-Pepira,13_4,,SPÁguas,FLU,603,4° BPAmb,"4400","8664912",,,,,,,,,,,,,,,
"5D-028",FCTH,"62751100",BROTAS,"1980","2024",-22.2925,-48.14083333,BROTAS,Brotas,R. JACARÉ-PEPIRA,Tietê/Jacaré,"13",Alto Jacaré-Pepira,13_4,,SPÁguas,FLU,442,5° BPAmb,"5200","8665273",LOGGER (SOLINST) - DE 1999 A 2009 S/ VAZÕES,,ATIVO,,,,,Q,,,,,,,
"5D-029",FCTH,"62742000",JAÚ,"1981","2024",-22.3025,-48.64694444,JAÚ,Jau,R. JAÚ,Tietê/Jacaré,"13",Rio Tietê/ Rio Lençóis,13_7,,SPÁguas,FLU,417,2° BPAmb,"2200","866571",LOGGER (FCTH) - SEM OBSERVADOR - DE 2000 A 2009 S/ VAZÕES - (ESTAÇÃO MISTA D5-007),,ATIVO,,,L,,Q,,,,,,,
"5D-030",,,CHÁCARA DOS PINHAIS,"1980","1984",-22.96666667,-48.52,BOTUCATU *(SMT),Botucatu,R. PARDO,Médio Paranapanema,"17",Rio Pardo / Rio das Pedras / Rio Novo,17_1,,SPÁguas,FLU,128,5° BPAmb,"5300","864693",,,,,,,,,,,,,,,
5D-500Z,FCTH,,SÍTIO N. S. APARECIDA,"2009","2025",-22.54027778,-48.22027778,SANTA MARIA DA SERRA,Santa Maria da Serra,RIB. BONITO,Piracicaba/Capivari/Jundiai,"5",,5_6,,SPÁguas,PIEZO,,5° BPAmb,"5200","866613",LOGGER (SOLINST) - SEM OBSERVADOR (AS LEITURAS GRAVADAS SÃO RETIRADAS DAS INSPEÇÕES),,ATIVO,,C,L,,,,,,,,Guarani,517.024
5D-501Z,FCTH,,ASSIS I. F. - SEDE VENCIO,"2009","2025",-22.04111111,-48.32277778,RIBEIRÃO BONITO,Trabiju,RIB. BOA ESPERANÇA,Tietê/Jacaré,"13",Baixo Jacaré-Guaçu,13_3,,SPÁguas,PIEZO,,4° BPAmb,"4400","86646",LOGGER (SOLINST),,ATIVO,,C,L,,,,,,,,Guarani,522.371
5D-502Z,FCTH,,ESTÂNCIA PONTAL DA BOA VISTA,"2018","2025",-22.61,-49.07055556,LENÇÓIS PAULISTA,Agudos,CÓRR. DA SERRINHA,Médio Paranapanema,"17",Rio Turvo / Rio São João / Rio Alambari,17_2,,SPÁguas,PIEZO,,2° BPAmb,"2200","8646293",LOGGER (SOLINST) - SEM OBSERVADOR (AS LEITURAS GRAVADAS SÃO RETIRADAS DAS INSPEÇÕES),,ATIVO,,C,L,,,,,,,,Bauru,610.455
5D-503Z,FCTH,,ANTIGA CEAGESP,"2019","2025",-22.97222222,-48.13055556,CONCHAS,Anhembi,R. DO PEIXE,Tietê/ Sorocaba,"10",Médio Tietê Inferior,10_5,,SPÁguas,PIEZO,,5° BPAmb,"5300","866763",LOGGER (SOLINST) - SEM OBSERVADOR (AS LEITURAS GRAVADAS SÃO RETIRADAS DAS INSPEÇÕES),,ATIVO,,C,L,,,,,,,,Guarani,642.602
"5E-001",,,TAQUARIVAI,"1946","1998",-23.91666667,-48.78,BURI,Itapeva,R. APIAÍ-GUAÇU,Alto Paranapanema,"14",Rio Taquari/ Ribeirão dos Carrapatos,14_4,,SPÁguas,FLU,959,5° BPAmb,"5300","86492943",,,,,,,,,,,,,,,
"5E-002",FCTH,,ITAPEVA,"1947","2024",-23.96277778,-49.13611111,ITAPEVA,Itabera,R. TAQUARI,Alto Paranapanema,"14",Rio Taquari/ Ribeirão dos Carrapatos,14_4,,SPÁguas,FLU,835,5° BPAmb,"5300","864926",DE 1997 A 2011 S/ VAZÕES - (ESTAÇÃO MISTA E5-045),,ATIVO,,,,,,,,,,,,
"5E-003",,,FERREIRA DAS ALMAS,"1969","1997",-23.93333333,-48.24,CAPÃO BONITO,Capao Bonito,R. PARANAPANEPA,Alto Paranapanema,"14",Nascente Paranapanema,14_2,,SPÁguas,FLU,681,5° BPAmb,"5300","8649961",SEM OBSERVADOR,,,,,,,,,,,,,,
"5E-004",,,BAIRRO CERRADO,"1960","1981",-24,-48.32,CAPÃO BONITO,Capao Bonito,R. DAS ALMAS,Alto Paranapanema,"14",Nascente Paranapanema,14_2,,SPÁguas,FLU,495,5° BPAmb,"5300","8649943",,,,,,,,,,,,,,,
"5E-006",FCTH,,PORTO VELHO,"1947","2024",-23.62638889,-48.12527778,ITAPETININGA,Itapetininga,R. ITAPETININGA,Alto Paranapanema,"14",Rio Itapetininga,14_1,,SPÁguas,FLU,1524,5° BPAmb,"5300","8649852",,,ATIVO,,,,,,,,,,,,
"5E-007",FCTH,,FAZENDA BOI BRANCO,"0","0",-23.48638889,-49.08916667,ITAÍ,Itai,RIB. DAS POSSES,Alto Paranapanema,"14",Rio Taquari/ Ribeirão dos Carrapatos,14_4,,SPÁguas,FLU,133,5° BPAmb,"5300","8649235",POUCAS MEDIÇÕES (GRANDES DISPERSÕES) - 01 LEITURA/DIA - FOI LOGGER (SOLINST) -  NÃO HÁ CURVA,,ATIVO,,,,,,,,,,,,
"5E-008",,,BURI,"1933","1980",-23.78333333,-48.7,BURI,Buri,R. APIAÍ-GUAÇU,Alto Paranapanema,"14",,14_3,,SPÁguas,FLU,2024,5° BPAmb,"5300","8649624",,,,,,,,,,,,,,,
"5E-009",FCTH,,TURVO,"1971","2024",-23.85083333,-48.25083333,ITAPETININGA,Itapetininga,R. TURVO,Alto Paranapanema,"14",Nascente Paranapanema,14_2,,SPÁguas,FLU,773,5° BPAmb,"5300","864995",LOGGER (FCTH) - DE 2003 A 2006 S/ VAZÕES - (ESTAÇÃO MISTA E5-055),,ATIVO,,,,,,,,,,,,
"5E-011",,,PONTE MARCOLINO NUNES,"1969","2000",-23.93333333,-48.66,ITAPEVA,Taquarivai,R. APIAÍ-MIRIM,Alto Paranapanema,"14",,14_3,,SPÁguas,FLU,714,5° BPAmb,"5300","8649653",,,,,,,,,,,,,,,
"5E-012",FCTH,,SÃO JOÃO,"1970","2024",-23.07027778,-48.17055556,CONCHAS,Bofete,R. DO PEIXE,Tietê/ Sorocaba,"10",Médio Tietê Inferior,10_5,,SPÁguas,FLU,584,5° BPAmb,"5300","866765",,,ATIVO,,,,,,,,,,,,
"5E-013",FCTH,,PONTE DOS TEODOROS,"1969","2024",-23.47416667,-48.52194444,ANGATUBA,Angatuba,R. GUAREÍ,Alto Paranapanema,"14",Usina Jurumirim,14_5,,SPÁguas,FLU,530,5° BPAmb,"5300","8649561",,,ATIVO,,,,,,,,,,,,
"5E-014",FCTH,,CERRADINHO,"1980","2023",-23.96972222,-48.33166667,CAPÃO BONITO,Capao Bonito,R. DAS ALMAS,Alto Paranapanema,"14",Nascente Paranapanema,14_2,,SPÁguas,FLU,534,5° BPAmb,"5300","8649942",,,ATIVO,,,,,,,,,,,,
"5E-015",FCTH,,PALMEIRAS DO RICARDO,"1981","2025",-23.95583333,-49.18916667,ITAPEVA,Itabera,RIB. PIRITUBA,Alto Paranapanema,"14",Rio Itararé,14_6,,SPÁguas,FLU,635,5° BPAmb,"5300","8648291",DE 2008 A 2010 S/ VAZÕES,,ATIVO,,,,,,,,,,,,
5E-500Z,FCTH,,CHÁCARA SÃO BENEDITO,"2009","2025",-23.06444444,-48.22111111,BOFETE,Bofete,R. DO PEIXE,Tietê/ Sorocaba,"10",Médio Tietê Inferior,10_5,,SPÁguas,PIEZO,,5° BPAmb,"5300","8667691",LOGGER (SOLINST),,ATIVO,,C,,,,,,,,,Guarani,583.151
5F-001,FCTH,"81380000",ELDORADO,"1938","2024",-24.51666667,-48.1325,ELDORADO,Eldorado,R. RIBEIRA DO IGUAPE,Ribeira de Iguape / Litoral Sul,"11",Baixo Ribeira,11_3,,SPÁguas,FLU,14582,3° BPAmb,"3200","7794534",LOGGER (VAISALA) / TELEMETRIA SATELITE  - LOGGER (FCTH) / TELEMETRIA CHIP CELULAR - OPERAÇÃO CONJUNTA - (ESTAÇÃO MISTA F5-007),,ATIVO,,,L,T,,,,,,,,
5F-004,,,ITAOCA,"1959","1992",-24.65,-48.98,APIAI,Ribeira,R. RIBEIRA DO IGUAPE,Ribeira de Iguape / Litoral Sul,"11",Baixo Ribeira,11_3,,SPÁguas,FLU,8013,5° BPAmb,"5300","77947173",,,,,,,,,,,,,,,
5F-005,FCTH,"81205000",RIBEIRA,"1962","1998",-24.65861111,-49.00944444,RIBEIRA,Ribeira,R. RIBEIRA DO IGUAPE,Ribeira de Iguape / Litoral Sul,"11",Baixo Ribeira,11_3,,SPÁguas,FLU,7465,5° BPAmb,"5300",,LOGGER (FCTH) / TELEMETRIA CHIP CELULAR - SEM OBSERVADOR - FOI REGISTRADOR MECÂNICO - DE 1972 A 1990 S/ VAZÕES - ESTAÇÃO MISTA F5-002 (POSTO PLU EXTINTO NA PRODESP?),,ATIVO,,,L,T,,,,,,,,
5F-009,,,SALTO GRANDE DO GUARAU,"1965","1998",-24.85,-48.1,JACUPIRANGA,Jacupiranga,RIB. GUARAÚ,Ribeira de Iguape / Litoral Sul,"11",Rio Ribeira de Iguape,11_5,,SPÁguas,FLU,148,3° BPAmb,"3200","7794281","REATIVADO EM 2011 - APENAS COM MEDIÇÕES DE VAZÃO - CASO SEJA INSTALADO UM LOGGER DE CHUVA, OS DADOS DEVEM SER REGISTRADOS PARA O F5-023",,,,,,,,,,,,,,
5F-010,FCTH,"81339000",BARRA DO TURVO,"2005","2024",-24.761061,-48.507429,BARRA DO TURVO,,R. PARDO,,,,,,SPÁguas,FLU,1934,,,,LOGGER (FCTH) / TELEMETRIA CHIP CELULAR (ESTAÇÃO MISTA F5-033)-COODENADAS MUDARAM EM 09/10/25,,ATIVO,,O,L,T,,,,,,,,
5F-011,,,ANDORINHAS,"1969","1998",-24.66666667,-48.68,IPORANGA,Iporanga,R. PARDO,Ribeira de Iguape / Litoral Sul,"11",Baixo Ribeira,11_3,,SPÁguas,FLU,2872,3° BPAmb,"3200","7794595",,,,,,,,,,,,,,,
5F-012,,,GUARAÚ-JACUPIRANGA,"0","0",-24.75583333,-48.10138889,CAJATI,Cajati,RIB. GUARAÚ,Ribeira de Iguape / Litoral Sul,"11",Rio Ribeira de Iguape,11_5,,SPÁguas,FLU,257,3° BPAmb,"3200","7794281",LOGGER (CAMPBELL) / TELEMETRIA CHIP CELULAR - NÃO SÃO FEITAS MEDIÇÕES DE VAZÃO (A SEÇÃO UTILIZADA PARA MEDIR VAZÃO DESTE RIO É A DO 5F-009) - NÃO HÁ CURVA - (ESTAÇÃO MISTA F5-047),,,,,,,,,,,,,,
5F-014,,,SÍTIO ALAMBARI,"1971","1977",-24.38333333,-48,SETE BARRAS,Sete Barras,R. ETÁ,Ribeira de Iguape / Litoral Sul,"11",Alto Juquiá,11_2,,SPÁguas,FLU,314,3° BPAmb,"3200","7794521",,,,,,,,,,,,,,,
